10 10000
5 2 229920
0 1 263244
4 7 56378
0 0 675452
2 4 398545
8 7 814551
2 9 632243
1 0 265094
4 1 2090
6 8 577332
4 4 569198
2 2 642644
3 9 742527
1 6 392793
9 2 609796
1 1 929312
6 1 141392
1 1 710047
1 0 351012
1 1 501676
0 4 333447
0 6 321303
2 9 760927
8 4 872431
1 2 212946
5 2 60289
2 5 950747
4 1 723282
9 7 127526
4 6 678821
0 3 203418
0 2 813789
8 9 294042
7 6 542914
7 3 499374
3 8 534136
9 8 180452
8 7 956844
7 4 779140
6 0 271316
0 8 928763
2 4 970042
7 7 136978
4 4 455408
2 7 967633
2 4 840613
8 4 692135
8 0 814463
0 3 583219
0 6 528948
9 8 294677
2 3 318384
4 4 814344
2 7 768411
5 1 99333
1 0 229902
6 7 844076
4 4 354412
9 1 259040
9 5 342542
9 5 618671
6 6 755502
9 8 49054
9 0 263728
8 9 90997
9 9 637905
0 8 458101
3 7 35717
9 8 400180
6 2 863371
2 4 707239
6 4 143639
6 4 155404
2 1 951813
5 9 464752
2 0 779119
4 3 246991
1 9 874677
6 9 720658
0 8 178040
4 3 915095
7 2 211736
0 7 343496
6 2 227978
9 0 755205
1 4 601920
5 7 278924
9 2 369417
7 0 14756
6 7 778257
2 4 141965
8 4 65524
1 1 4002
9 3 796434
0 1 658872
4 1 435138
8 7 830959
2 6 761062
4 8 846122
9 3 409135
6 6 933117
0 2 799201
6 6 450552
3 9 573021
7 8 950299
0 8 483391
9 6 741795
7 0 158750
8 7 423222
2 2 194424
0 0 929635
7 6 473047
5 6 660022
2 1 952439
5 3 464599
6 1 962695
5 3 315898
9 6 234738
1 8 860430
4 0 520813
0 0 10168
8 4 474844
4 3 426301
6 9 960463
6 5 338876
7 2 677693
9 8 145798
5 8 115616
8 7 532099
8 8 31851
7 7 780202
3 3 496770
3 4 682619
4 2 285209
1 6 930579
5 4 603633
0 0 354403
8 2 393685
9 5 531080
5 7 978697
0 5 717954
8 4 827032
8 6 581429
3 9 476966
4 0 205837
3 7 342910
1 0 240734
8 2 673778
1 3 380385
3 8 785692
3 8 873129
0 9 749317
5 0 374562
4 0 34937
0 8 96590
4 6 874092
0 7 995640
8 6 955165
6 1 146468
5 6 324116
3 4 377004
6 9 828941
4 3 673168
5 7 650441
8 7 677803
8 9 62752
6 2 219284
6 1 400800
8 1 644319
3 4 717620
1 7 109306
1 3 17787
8 0 302573
0 9 642561
8 1 918757
0 7 108339
3 7 396696
5 5 246295
0 0 55995
9 1 83097
1 9 233401
8 4 117163
2 9 738232
7 0 81949
9 5 136864
0 7 38228
7 6 637657
1 5 928151
3 1 177298
6 6 494812
5 5 670572
2 6 688236
4 6 136488
6 7 909177
2 7 44345
4 7 59473
9 1 213769
5 6 59682
7 3 236504
6 1 525877
9 2 688844
8 6 492294
0 6 925527
5 0 710018
8 5 959606
0 8 340320
4 1 312141
0 1 474889
7 8 484563
1 3 631407
8 9 611848
1 3 875782
1 3 343227
6 9 584907
9 6 272151
1 6 139137
9 8 117420
6 1 221529
1 1 821053
2 6 432476
2 2 938311
3 9 925286
8 2 12859
1 9 985908
3 4 631537
1 8 329113
5 4 338433
1 2 867111
3 3 521360
1 1 746698
8 1 558201
9 6 812732
9 6 966695
0 0 760185
7 2 730872
4 8 532712
5 8 354518
3 9 870305
6 2 50058
6 2 378677
1 5 920890
7 2 724275
3 2 966241
1 7 846790
8 2 352165
6 2 209190
5 8 60514
6 8 562430
5 8 999235
8 8 329012
9 7 579092
0 7 538247
5 7 559378
8 7 949032
4 3 567726
8 6 338614
7 9 33733
4 4 518490
9 7 782084
7 8 849812
8 4 28412
3 7 364229
2 2 855381
1 8 653057
5 4 994154
8 6 448887
4 4 761468
4 1 649466
7 4 332747
4 7 711407
9 3 807929
9 3 471042
5 0 24649
5 6 957069
0 1 935716
9 5 223076
8 4 205811
9 7 845547
0 3 362997
0 8 12831
4 6 480353
7 8 40401
2 1 224699
8 6 275107
0 6 76528
2 8 959373
5 4 935392
5 4 314304
5 2 334622
3 6 607209
9 2 830685
7 1 139623
4 2 470666
2 3 957886
7 3 927495
6 6 399632
9 7 610130
0 3 876142
9 5 592445
8 8 713220
0 6 859857
9 7 748215
3 4 276149
9 1 995388
8 2 555963
2 7 397739
6 5 53290
6 4 419566
9 6 842848
1 8 391300
1 5 937965
7 9 834416
6 0 256130
5 0 777436
7 4 889677
1 4 746685
9 4 935260
6 9 934338
3 1 734445
4 5 452893
6 4 686265
6 1 67760
5 5 234600
8 5 189290
7 4 692277
2 9 997026
0 0 817451
8 3 309238
7 5 827739
0 8 811272
0 7 143256
2 5 858705
9 8 535970
4 1 37284
4 7 950618
1 3 630703
1 3 551630
7 4 395255
3 9 889362
2 0 290862
7 6 670824
6 8 606173
8 5 397925
9 9 419389
8 3 951842
3 9 908417
7 9 792424
8 7 357153
7 1 609683
4 7 250930
4 7 771377
0 8 799578
8 0 263570
5 9 898589
8 9 630211
3 0 813163
5 9 394105
0 4 154716
6 6 70173
5 1 923646
3 2 288577
6 8 580147
2 1 321384
9 6 305966
2 3 106173
8 5 492131
8 2 533252
7 2 857511
4 4 197052
9 7 221918
7 5 346614
6 2 365809
3 4 86088
3 3 674339
3 1 66552
0 4 656659
1 9 466941
9 9 412780
2 8 593253
8 3 647131
1 3 536016
8 9 808842
2 5 498248
3 2 991553
9 7 644965
9 6 286426
9 0 135944
8 0 307316
7 1 408083
6 3 670808
7 0 40058
3 7 572021
4 2 767167
8 1 661146
4 1 202890
3 3 349479
8 7 225051
4 2 523103
5 5 625807
8 6 555377
2 5 829251
7 0 963981
9 0 801587
2 2 159555
8 6 165243
8 5 158529
0 5 653956
0 8 598205
2 8 400463
5 8 394697
9 5 742691
6 1 95222
2 5 207311
3 4 845686
1 9 180174
0 5 574560
1 8 616750
6 8 744149
3 1 185684
5 7 292625
8 6 984766
6 4 909124
1 4 792924
7 2 860454
3 1 179987
3 1 357352
4 8 465818
5 4 729416
7 0 119098
2 2 694085
0 8 451928
8 6 541080
4 1 41693
2 5 794863
5 4 416485
9 1 854000
1 2 498877
6 4 564773
3 6 113381
6 1 725319
5 3 528339
4 0 122116
5 4 302908
7 8 45247
0 7 66189
1 2 774241
6 3 481760
6 2 101763
5 6 561192
4 5 243960
1 1 720002
3 6 88016
2 2 156023
0 9 563145
1 4 704033
5 3 217501
5 0 710072
5 6 574219
0 5 393140
2 9 2973
6 8 19606
1 9 301376
1 0 258041
8 3 305641
5 0 469255
0 8 209263
1 4 134119
6 0 604803
6 0 713163
2 4 331896
3 7 348853
0 4 399934
7 8 721607
4 3 882122
5 1 376589
5 0 697218
9 2 362565
5 1 743927
7 8 148888
9 1 397044
1 8 235601
5 8 342449
3 2 131119
2 9 708539
5 1 12793
6 4 957718
3 6 487076
0 3 394150
2 4 403497
3 5 993582
6 8 481395
7 9 395953
6 3 460713
5 8 322237
2 3 4112
6 5 790127
3 3 125949
3 8 927291
8 5 294038
6 9 733129
8 2 68320
4 5 431656
0 8 875345
7 9 530285
3 5 818405
8 0 845381
8 0 878129
7 0 674955
5 4 685491
6 8 995366
2 0 240276
8 8 502529
9 7 618787
1 7 202858
4 9 663799
2 4 106207
3 1 156097
8 4 966549
7 5 17345
2 7 117901
9 8 946851
7 6 516668
9 4 782388
9 6 392785
6 5 897010
6 8 932775
3 5 20664
8 3 262198
7 1 841019
9 0 308541
4 7 611661
4 8 60302
2 2 777657
7 5 811873
2 5 75158
7 3 709088
3 7 806059
9 3 714210
6 4 461317
9 0 42982
7 1 583892
4 1 135383
3 6 388975
8 4 954037
8 3 730268
4 1 289105
9 8 406453
6 4 872136
4 2 481353
1 1 189234
1 6 585876
6 1 152223
5 0 818467
1 5 488995
4 5 203410
7 4 552073
6 8 702634
0 5 460907
8 5 21069
4 7 780490
4 7 862269
8 2 534307
2 2 647786
5 2 61790
8 0 403473
9 4 130062
9 8 308703
1 9 213220
4 5 506003
9 4 59597
6 7 920165
2 8 30878
8 9 24931
2 8 139704
2 8 999173
5 2 159005
3 1 902390
0 2 760785
8 7 385350
4 4 116034
7 1 168656
2 0 580570
9 9 882361
2 2 993767
2 1 686051
8 9 161550
5 5 122282
2 6 446117
6 2 424527
5 2 130676
6 9 596459
8 6 825143
2 4 590463
4 2 267032
2 1 124743
4 6 647749
4 9 457189
9 5 166556
3 2 523400
3 1 541315
3 2 765018
2 2 663859
5 2 451884
4 3 206912
7 2 523037
2 3 759733
4 6 185523
3 0 69635
3 1 57903
8 0 154390
4 1 216326
1 6 134040
3 3 588111
8 9 921144
3 0 958093
3 9 491314
3 5 661728
4 6 162793
8 3 542680
7 9 825968
1 7 933533
5 6 52335
9 5 549551
8 4 319946
8 3 833789
3 4 496136
9 3 863744
9 6 893710
9 3 76336
8 4 593526
3 0 945901
9 6 165707
1 1 920380
4 9 264830
0 2 687351
2 7 842776
8 8 393981
7 9 238777
5 5 516947
2 6 23925
2 4 22209
5 7 798219
7 3 277840
8 7 345111
3 4 247621
1 7 289273
2 8 884970
2 7 553418
9 3 352534
6 0 945312
2 2 368055
7 7 492216
7 5 411407
4 7 872968
5 8 227443
4 7 49550
2 5 291506
6 2 861086
0 6 438066
4 9 332422
4 9 971182
2 5 390793
7 0 76202
7 9 789576
6 9 771317
0 5 272987
0 9 485602
7 5 596786
9 3 424896
3 7 817905
5 1 502979
4 6 300159
3 6 775657
2 1 415390
2 6 474241
2 7 728331
5 9 753835
3 3 694345
8 3 525358
9 3 941309
1 1 153857
3 3 308703
7 6 281252
2 5 744135
2 0 104865
4 2 509354
6 9 144277
4 8 337488
7 5 557660
5 5 808008
1 7 29177
2 3 581369
0 1 866460
3 1 715648
3 8 765083
6 9 531012
4 1 20609
7 3 242935
2 8 848649
2 8 584409
6 0 473121
7 8 583944
0 7 949982
8 9 970091
1 2 707811
4 5 9594
5 9 167541
0 6 143232
6 4 299199
8 1 391379
1 3 736372
6 5 954262
3 8 887389
6 8 93330
6 2 938939
3 3 181738
1 8 948239
3 2 384769
8 6 151920
4 3 119258
1 8 288565
0 3 92721
7 2 416945
5 5 178611
0 8 180021
4 3 255944
7 9 789661
9 7 514189
6 5 542620
5 5 579452
8 7 378311
0 4 734554
1 9 546396
4 8 656171
8 4 27200
9 4 367495
0 7 877163
0 0 357195
8 5 986823
1 7 856706
9 6 743932
9 2 775235
9 2 913944
7 4 749282
3 5 329190
6 7 623269
8 1 510103
2 1 53484
6 5 116695
2 0 2747
3 3 933216
6 9 857978
2 2 21179
4 6 633669
2 2 270901
7 9 270655
3 2 876469
0 9 684364
7 8 799690
1 2 707566
7 3 154178
8 7 219928
3 0 624440
2 9 853313
5 1 844590
8 4 747845
4 8 137285
9 9 273630
9 8 756476
2 2 11005
4 9 387924
6 2 149148
4 7 60575
1 5 472391
0 6 454967
0 8 684076
1 1 820631
8 8 549060
5 3 594773
8 2 342427
5 1 735474
5 1 573825
6 3 428801
6 4 207932
4 4 991720
0 1 260336
8 8 26529
1 0 377834
2 6 845145
9 4 46905
1 5 311040
9 3 430836
8 0 309998
6 2 747573
0 5 7866
9 6 653338
5 4 282770
4 5 902915
4 1 594761
7 8 463356
9 6 918164
1 9 197820
5 2 123448
6 6 643547
7 0 438883
7 1 594120
3 3 912043
0 3 130816
8 2 932974
6 2 472347
2 7 101265
3 0 45185
6 3 36062
3 9 462913
5 5 684592
5 8 749610
6 0 703289
8 0 262494
3 4 480851
1 3 11712
7 3 34845
6 5 670778
9 6 168026
1 0 527145
0 0 170142
6 6 415617
8 4 765543
0 7 974321
4 0 426757
8 9 738385
8 3 625320
4 1 255598
7 4 819758
5 3 194931
0 2 946702
6 4 132043
5 5 400453
6 8 958324
6 1 648082
0 1 829546
6 6 247525
0 5 708694
4 9 405542
0 4 607595
5 7 348246
1 8 238695
4 9 600135
7 0 211026
5 1 526442
8 4 351291
5 8 685605
8 6 598925
6 1 760059
0 3 653692
4 1 20212
7 8 589595
9 3 173772
9 3 536871
2 5 372315
8 2 936401
8 6 393666
6 7 378202
2 9 493183
4 7 6207
3 1 464005
6 8 280272
3 2 742323
3 5 125432
6 2 312064
4 0 668983
1 8 248902
0 2 424951
7 9 542266
4 6 159329
8 5 985457
8 7 585893
9 4 891927
9 1 92702
3 1 130340
1 0 440383
2 1 401591
8 1 904819
1 3 363508
7 3 479069
4 5 469618
1 0 290795
4 1 104555
3 8 983830
4 4 468597
3 6 947794
6 1 984883
6 1 186567
3 8 746693
1 2 311050
4 0 661865
6 7 539771
2 2 610007
3 7 63422
6 2 825411
4 6 900141
4 9 588624
9 3 729660
0 8 886629
6 5 215730
8 1 224871
8 5 59432
9 1 820750
2 2 464570
3 1 404828
5 9 213267
8 0 322658
6 5 348669
9 1 254236
9 1 690930
3 8 654811
1 7 339835
5 4 399419
1 7 82994
7 1 754585
8 1 408548
8 5 781206
6 1 158064
7 3 813323
3 0 790559
7 3 322187
2 6 5070
1 6 533954
4 9 170991
2 0 989790
2 2 939305
4 7 183705
6 7 398968
5 6 294834
5 2 269360
7 5 859338
8 4 767207
0 7 106793
4 0 449815
2 1 333336
8 8 667064
7 0 635361
4 1 594545
4 4 807644
6 5 472793
5 3 930261
2 4 841828
6 1 968695
1 2 758900
2 6 720276
5 9 650237
4 3 665884
9 8 186707
5 3 339305
9 2 156396
6 1 194687
7 1 537893
3 4 83663
4 0 348370
3 3 577126
0 5 501477
0 0 461463
2 6 275582
3 2 470034
4 5 949411
9 9 338337
5 9 900542
8 5 695953
1 9 834658
4 2 456444
4 9 139610
4 3 478892
2 5 723113
3 8 573283
1 8 349477
3 1 739441
0 1 155806
5 8 745949
1 6 691445
3 5 583204
8 4 568596
3 7 824569
6 0 324281
9 7 241423
2 3 192750
6 1 940523
1 6 967281
4 8 881578
9 7 441444
0 1 228238
3 1 9985
4 5 709041
1 6 871531
9 1 167806
6 5 886247
0 9 356041
8 8 352122
3 8 610650
4 4 918419
2 9 921047
5 4 404592
2 1 877084
9 2 98014
1 0 542246
7 6 210714
7 4 225374
0 4 974170
3 4 575162
3 2 831320
7 8 754290
8 0 28113
5 9 964477
6 9 458151
6 4 885988
2 9 548306
0 8 438478
6 1 379714
8 0 302040
0 5 733165
4 3 647273
3 2 748266
3 0 581635
3 5 430407
4 7 970367
1 2 652749
1 9 762255
8 7 787985
7 9 217948
7 2 499531
8 9 268632
1 0 756315
5 1 803126
5 8 275676
9 1 947461
5 8 49613
2 3 469601
2 7 789334
5 2 416332
8 6 436349
4 2 853268
5 0 343251
7 6 495182
4 1 726372
3 1 121951
9 3 784248
4 8 427284
2 7 537779
3 1 466485
3 9 491417
7 3 524075
4 5 129291
9 7 138520
0 8 432385
4 5 565738
0 3 961489
3 8 522093
3 2 548437
6 1 444102
0 1 464744
5 4 20068
7 7 586592
5 0 898327
0 5 994880
3 5 344588
7 7 594098
4 7 236211
0 4 531476
4 8 290106
4 6 909611
8 0 749164
4 4 444154
8 9 712732
0 4 853404
4 1 429231
6 3 532442
7 9 395430
1 2 168213
7 9 95682
2 8 199113
4 8 84576
3 8 570753
2 5 219746
3 2 787639
9 7 946770
8 1 395062
3 6 552832
4 2 406987
1 6 832853
5 5 931089
6 9 740959
4 7 160344
5 3 177536
0 6 498887
2 1 302996
7 5 143729
2 2 738804
6 4 477631
3 5 13601
5 6 539359
3 7 884940
2 3 843235
9 4 656183
8 9 408187
0 5 640109
2 1 496958
2 8 568015
2 4 72223
8 6 729069
2 8 850568
1 9 158892
4 3 244159
7 7 364523
7 7 293317
2 1 340536
2 9 53532
3 8 476148
0 9 663380
4 9 759680
9 3 326944
4 8 288661
9 9 442381
3 2 35030
5 9 646605
1 3 649482
3 7 825545
7 1 722570
9 2 427864
8 9 68874
8 2 208590
3 4 853389
2 4 668379
2 0 133173
4 7 225803
5 6 896939
8 4 583919
2 8 244835
5 4 331462
1 0 460907
0 6 300384
3 7 762769
9 0 283165
0 0 914446
0 1 758721
4 6 791731
9 6 326066
1 8 733544
0 4 234984
4 3 480794
6 9 551017
4 2 397479
8 4 808125
1 4 992648
7 5 342803
7 0 222183
5 1 437748
4 9 331551
8 5 918709
2 6 259062
7 1 797473
4 2 440810
3 2 835627
1 2 513778
7 8 326450
7 9 888782
8 0 919855
0 5 859331
7 7 489088
2 3 746074
1 2 229950
9 0 672703
6 7 655623
8 8 541294
5 8 896930
8 1 597602
2 0 254333
0 0 60563
4 0 576723
0 3 296240
7 9 733766
2 6 529759
0 1 46271
3 2 655984
7 1 802061
8 6 856394
7 0 574769
6 8 343757
5 6 545719
9 6 391450
1 5 708630
2 9 504467
8 7 491577
8 7 358384
9 3 409826
2 3 675787
6 8 958546
4 2 883510
7 5 456282
2 4 725884
6 6 403354
8 7 200366
2 4 67572
8 5 3335
5 0 336897
6 8 491743
3 4 754337
4 0 39079
6 3 272156
1 8 560550
0 6 239284
8 5 313930
5 5 120162
2 1 559520
5 7 162275
1 8 165527
1 6 125373
7 3 495736
6 3 960882
6 0 154950
6 8 649091
7 2 674905
7 8 467191
4 8 538141
6 1 406796
0 8 81465
8 2 178688
8 2 764501
1 5 441829
8 6 9927
0 1 279578
9 1 377809
3 7 692010
4 2 277307
8 4 172467
6 5 100287
4 1 605947
7 7 986049
3 3 377512
1 0 854038
2 1 19213
5 4 204106
7 1 861089
2 7 41908
9 2 56744
0 6 772280
2 5 350944
9 4 907673
9 8 478648
1 5 999916
6 9 762850
1 7 698636
5 3 286533
5 3 767221
3 1 876133
9 8 224785
9 9 340101
8 4 742367
6 5 930768
8 9 922061
6 1 811737
0 6 981278
2 5 571449
4 7 844095
1 0 760988
9 5 776030
9 7 299080
0 0 492963
3 3 308895
6 8 237232
4 0 232129
3 7 929965
6 7 458618
2 8 363355
3 2 787751
6 0 372200
2 6 263940
8 3 720004
2 9 977220
5 3 120114
9 3 996779
2 1 792644
6 1 310158
9 5 495644
5 0 529255
8 3 59853
2 2 76396
1 5 587562
2 8 716560
0 2 863936
5 7 683742
2 4 481773
1 9 740696
6 8 855190
9 8 812868
4 5 292161
5 2 221467
8 4 722417
4 2 251261
9 9 405295
4 4 842394
3 0 297031
8 9 681272
6 6 380392
8 5 948495
6 2 984947
8 3 982481
2 5 326755
0 6 301922
7 4 250592
4 3 406105
9 8 133852
7 9 465026
8 3 980954
8 8 956673
6 3 962483
3 3 161686
7 1 825403
9 0 473111
4 8 710757
4 8 511195
7 0 602935
3 5 555831
9 4 881394
9 5 929552
4 8 999565
4 6 989894
2 3 596243
1 2 751188
1 3 305234
6 2 511456
5 2 55711
8 6 436953
0 7 191075
8 5 464283
2 1 313858
3 4 883961
0 3 173743
